uid;time;speed_upload;speed_download;bytes_download;bytes_upload
259;2020-04-08 16:57:34.667684+02;3269;10030;8801719;2839285
260;2020-04-08 17:57:42.846695+02;3580;5632;4933985;3035567
261;2020-04-08 18:57:42.663408+02;;;;
262;2020-04-08 19:57:48.905278+02;4826;6083;5328494;4238086
263;2020-04-08 20:57:51.03001+02;5255;4940;4323419;4584962
264;2020-04-08 21:57:58.844137+02;4921;2639;2310062;4409525
265;2020-04-08 22:58:01.524547+02;5232;10652;9322727;3434425
266;2020-04-08 23:58:07.982321+02;5804;13305;11654419;3776972
267;2020-04-09 00:58:16.726665+02;5578;15285;13379236;4704325
268;2020-04-09 01:58:20.84354+02;5663;15622;13670827;5063900
269;2020-04-09 02:58:20.916515+02;5739;17676;15486067;4316718
270;2020-04-09 03:58:20.753035+02;6005;17494;15322259;5226937
271;2020-04-09 04:58:20.706527+02;6500;15967;13973702;4707080
272;2020-04-09 05:58:24.730243+02;5125;15896;13924778;4424907
273;2020-04-09 06:58:26.97908+02;5455;14970;13101313;4482093
274;2020-04-09 07:58:30.861362+02;4457;9038;7913177;3544147
275;2020-04-09 08:58:39.005872+02;4973;9371;8200148;4244301
276;2020-04-09 09:58:42.751898+02;3873;12553;11007545;3373486
277;2020-04-09 10:58:41.95581+02;;;;
278;2020-04-09 11:58:48.878305+02;5106;5996;5251911;3712031
279;2020-04-09 12:58:51.169843+02;4139;5740;5045629;3635282
280;2020-04-09 13:58:57.855257+02;3445;11156;9777025;2386915
281;2020-04-09 14:59:05.783108+02;2771;5860;5127605;2361830
282;2020-04-09 15:59:05.830518+02;2870;8120;7117245;2530929
283;2020-04-09 16:59:07.737738+02;3493;5477;4812132;3082731
284;2020-04-09 17:59:14.765571+02;3270;7093;6206347;2625836
285;2020-04-09 18:59:16.886241+02;3838;8201;7187995;2748891
286;2020-04-09 19:59:16.709137+02;4346;7817;6845204;3845982
287;2020-04-09 20:59:17.730186+02;3964;6479;5674773;2962279
288;2020-04-09 21:59:22.325356+02;5740;6578;5777934;4872353
289;2020-04-09 22:59:24.909685+02;6453;5171;4554664;5003849
290;2020-04-09 23:59:24.879643+02;4767;9957;8712045;3598216
291;2020-04-10 00:59:24.846233+02;4792;14508;12700686;3939968
292;2020-04-10 01:59:25.70416+02;6955;15127;13241213;4243099
293;2020-04-10 02:59:25.90314+02;5827;15259;13352388;5124411
294;2020-04-10 03:59:30.785905+02;4756;15957;13962721;4040858
295;2020-04-10 04:59:33.801497+02;4074;9532;8402641;3352855
296;2020-04-10 05:59:35.869095+02;4397;10356;9072106;3726774
297;2020-04-10 06:59:35.171233+02;5272;15601;13674584;4563583
298;2020-04-10 07:59:39.756054+02;4957;12373;10828143;4159745
299;2020-04-10 08:59:42.986692+02;5570;2568;2263652;4876929
300;2020-04-10 09:59:42.682689+02;4564;8926;7832515;4020751
301;2020-04-10 10:59:51.791521+02;3248;7691;6738084;2882351
302;2020-04-10 11:59:50.945229+02;5370;6058;5301954;3587794
303;2020-04-10 13:00:01.765909+02;5899;5424;4771255;3249335
304;2020-04-10 14:00:02.73174+02;5204;6986;6113969;4031715
305;2020-04-10 15:00:08.499909+02;5092;5957;5231766;3953468
306;2020-04-10 22:40:34.454372+02;2672;6374;5579757;2255618
307;2020-04-10 23:40:33.572751+02;4617;4919;4305444;3389541
308;2020-04-11 00:40:37.383128+02;4134;11858;10376726;3704738
309;2020-04-11 01:40:43.548992+02;;;;
310;2020-04-11 02:40:52.300743+02;4265;15320;13420515;3690405
311;2020-04-11 03:41:00.698713+02;4341;12343;10816634;3623021
312;2020-04-11 04:41:01.492684+02;;;;
313;2020-04-11 05:41:04.284898+02;4331;9753;8537939;3611371
314;2020-04-11 06:41:03.465616+02;4310;14687;12853993;3842596
315;2020-04-11 07:41:04.120913+02;3110;10728;9388048;2691374
316;2020-04-11 08:41:11.37738+02;4808;8982;7864606;4264500
317;2020-04-11 09:41:12.484745+02;3793;4484;3928969;3594155
318;2020-04-11 10:23:16.599576+02;4846;4371;3827441;4063096
319;2020-04-11 10:53:17.824465+02;;;;
320;2020-04-11 11:23:20.395121+02;4206;2613;2287576;3671240
321;2020-04-11 11:53:23.470863+02;6329;6349;5558808;3457304
322;2020-04-11 12:23:25.612293+02;4850;14173;12411404;4038045
323;2020-04-11 12:53:26.571749+02;4687;12455;10899572;3856569
324;2020-04-11 13:23:28.3592+02;5902;7483;6555717;4370323
325;2020-04-11 13:53:27.640295+02;5508;11233;9831932;3859247
326;2020-04-11 14:23:29.892851+02;4676;11177;9787076;4152950
327;2020-04-11 14:53:38.97534+02;5108;8106;7094674;4273743
328;2020-04-11 15:23:44.472615+02;6442;11449;10032251;3744032
329;2020-04-11 15:53:52.054642+02;5435;8174;7154662;3134205
330;2020-04-11 16:24:02.491355+02;;;;
331;2020-04-11 16:54:06.880837+02;4117;9751;8542348;3534620
332;2020-04-11 17:24:15.082717+02;4451;4365;3830186;3928091
333;2020-04-11 17:54:17.606128+02;4859;14051;12298647;4299647
334;2020-04-11 18:24:18.17973+02;5032;10869;9513056;3719844
335;2020-04-11 18:54:18.088197+02;4966;14182;12410221;4029050
336;2020-04-11 19:24:19.743715+02;5489;13775;12054806;4130215
337;2020-04-11 19:54:25.008548+02;5975;8686;7619846;5225322
338;2020-04-11 20:24:27.702259+02;4593;8957;7840447;3865322
339;2020-04-11 20:54:27.693988+02;4469;10801;9454607;3849901
340;2020-04-11 21:24:28.861733+02;4989;7164;6268975;3891274
341;2020-04-11 21:54:32.874128+02;4981;9794;8571694;4416172
342;2020-04-11 22:24:32.740221+02;5681;8436;7393503;4709627
343;2020-04-11 22:54:38.648365+02;5554;14511;12708199;4139592
344;2020-04-11 23:24:43.497348+02;5593;12706;11129355;4636787
345;2020-04-11 23:54:42.741982+02;5713;12343;10815862;4677747
346;2020-04-12 00:24:45.646148+02;5007;6888;6027660;4377802
347;2020-04-12 00:54:50.735496+02;5660;13060;11428886;4445432
348;2020-04-12 01:24:50.665818+02;5931;15471;13564240;5097119
349;2020-04-12 01:55:01.603176+02;5909;13684;12060497;4979122
350;2020-04-12 02:25:00.677948+02;5937;14670;12844990;4748674
351;2020-04-12 02:55:08.720585+02;3899;9362;8195392;3506992
352;2020-04-12 03:25:11.717246+02;6219;13927;12195207;4239192
353;2020-04-12 03:55:16.699827+02;5787;13308;11646108;4467759
354;2020-04-12 04:25:23.958396+02;6311;15142;13250221;5538897
355;2020-04-12 04:55:23.976804+02;6083;16148;14133170;4848629
356;2020-04-12 05:25:23.621155+02;5455;16031;14027708;4793846
357;2020-04-12 05:55:23.876081+02;4701;13084;11449076;4372654
358;2020-04-12 06:25:29.160534+02;6061;11678;10218490;3991557
359;2020-04-12 06:55:36.574651+02;4114;12262;10742289;4362736
360;2020-04-12 07:25:41.708909+02;5915;12257;10727448;3803413
361;2020-04-12 07:55:42.692118+02;4941;12125;10628741;3887680
362;2020-04-12 08:25:43.611467+02;5846;9943;8703026;4618751
363;2020-04-12 08:55:50.525474+02;6177;15874;13903206;3432034
364;2020-04-12 09:25:57.20143+02;5227;10531;9216340;3828903
365;2020-04-12 09:55:56.831438+02;5226;13002;11408824;4611923
366;2020-04-12 10:26:04.864825+02;4738;5011;4386102;4124802
367;2020-04-12 10:56:07.051911+02;4144;13333;11695632;3723422
368;2020-04-12 11:26:11.753817+02;5868;7627;6689794;4276073
369;2020-04-12 11:56:16.649242+02;4813;15925;13937326;4278692
370;2020-04-12 12:26:15.626822+02;4435;5527;4944934;3946388
371;2020-04-12 12:56:23.313041+02;5347;6103;5343768;4595125
372;2020-04-12 13:26:23.71527+02;6293;8835;7793592;4226072
373;2020-04-12 13:56:28.766617+02;4477;11060;9772558;4063801
374;2020-04-12 14:26:27.750767+02;5772;13007;11383711;4043578
375;2020-04-12 14:56:31.749853+02;6356;7131;6250120;5468484
376;2020-04-12 15:26:32.691339+02;6389;8988;7932004;5068236
377;2020-04-12 15:56:33.748982+02;5541;6184;5532881;3835193
378;2020-04-12 16:26:35.581586+02;5502;9178;8039247;4103008
379;2020-04-12 16:56:37.847871+02;;;;
380;2020-04-12 17:26:39.78703+02;4497;10350;9067912;3828251
381;2020-04-12 17:56:43.46041+02;3316;8629;7567164;2975366
382;2020-04-12 18:26:42.442493+02;4568;7003;6128885;4068780
383;2020-04-12 18:56:51.277054+02;4311;9259;8108778;3911151
384;2020-04-12 19:26:53.674505+02;;;;
385;2020-04-12 19:44:08.256004+02;4656;6369;5576679;4037507
386;2020-04-12 20:14:13.94213+02;4321;7189;6297978;3473693
387;2020-04-12 20:44:16.679653+02;4220;6806;5954987;3678105
388;2020-04-12 21:14:16.707115+02;;;;
389;2020-04-12 21:44:22.813093+02;4329;5746;5029483;3805760
390;2020-04-12 22:14:22.66265+02;3793;9990;8741849;3413118
391;2020-04-12 22:44:21.984439+02;4360;7834;6856955;3679307
392;2020-04-12 23:14:26.767242+02;4258;5743;5025761;3541526
393;2020-04-12 23:44:35.323235+02;;;;
394;2020-04-13 00:14:37.80896+02;4714;8920;7806641;4044337
395;2020-04-13 00:44:42.650729+02;;;;
396;2020-04-13 01:14:42.728556+02;4861;11815;10343465;4254423
397;2020-04-13 01:44:41.732863+02;4683;7848;6866725;3886949
398;2020-04-13 02:14:42.668853+02;4638;8943;7837140;4018174
